date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2022-03-15,19701,9709,2490.2,NA,NA
2022-03-15,19702,13582,2460,NA,NA
2022-03-15,19703,3887,2692.8,NA,NA
2022-03-15,19706,NA,NA,NA,NA
2022-03-15,19707,3344,2436.9,NA,NA
2022-03-15,19709,12740,3143.9,NA,NA
2022-03-15,19711,11657,2153.4,NA,NA
2022-03-15,19713,7956,2728.2,NA,NA
2022-03-15,19716,NA,NA,NA,NA
2022-03-15,19717,819,4896.9,NA,NA
2022-03-15,19720,17132,2930.6,NA,NA
2022-03-15,19730,NA,NA,NA,NA
2022-03-15,19731,NA,NA,NA,NA
2022-03-15,19732,NA,NA,NA,NA
2022-03-15,19733,NA,NA,NA,NA
2022-03-15,19734,4100,3459.6,NA,NA
2022-03-15,19736,NA,NA,NA,NA
2022-03-15,19801,5031,2988.2,NA,NA
2022-03-15,19802,6818,2729.7,NA,NA
2022-03-15,19803,4731,2522.9,NA,NA
2022-03-15,19804,4795,2857.9,NA,NA
2022-03-15,19805,11490,3049,NA,NA
2022-03-15,19806,2102,2251.3,NA,NA
2022-03-15,19807,1507,2545.8,NA,NA
2022-03-15,19808,8872,2471.8,NA,NA
2022-03-15,19809,3098,2103,NA,NA
2022-03-15,19810,4903,2095.1,NA,NA
2022-03-15,19901,9332,2621.2,NA,NA
2022-03-15,19902,NA,NA,NA,NA
2022-03-15,19904,9975,2763.2,NA,NA
2022-03-15,19930,NA,NA,NA,NA
2022-03-15,19931,NA,NA,NA,NA
2022-03-15,19933,2605,2606.7,NA,NA
2022-03-15,19934,3348,2575,NA,NA
2022-03-15,19938,2812,3370.5,NA,NA
2022-03-15,19939,1660,2552.4,NA,NA
2022-03-15,19940,1704,3286.4,NA,NA
2022-03-15,19941,833,3137.6,NA,NA
2022-03-15,19943,3288,2659,NA,NA
2022-03-15,19944,NA,NA,NA,NA
2022-03-15,19945,1944,3592.4,NA,NA
2022-03-15,19946,1257,2593.1,NA,NA
2022-03-15,19947,6358,3394.2,NA,NA
2022-03-15,19950,1881,2710.1,NA,NA
2022-03-15,19951,NA,NA,NA,NA
2022-03-15,19952,2572,2813.7,NA,NA
2022-03-15,19953,1004,2557.1,NA,NA
2022-03-15,19954,NA,NA,NA,NA
2022-03-15,19956,4815,3374.5,NA,NA
2022-03-15,19958,5255,2594.2,NA,NA
2022-03-15,19960,1960,3198.1,NA,NA
2022-03-15,19962,3431,3095.8,NA,NA
2022-03-15,19963,5622,2860.1,NA,NA
2022-03-15,19964,NA,NA,NA,NA
2022-03-15,19966,7548,2935.2,NA,NA
2022-03-15,19967,NA,NA,NA,NA
2022-03-15,19968,2721,2769.7,NA,NA
2022-03-15,19970,1585,2552.7,NA,NA
2022-03-15,19971,2866,3068.4,NA,NA
2022-03-15,19973,7323,3117,NA,NA
2022-03-15,19975,2150,2827.2,NA,NA
2022-03-15,19977,8379,3356.6,NA,NA
2022-03-15,19979,NA,NA,NA,NA
